City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Qaanaaq,GL,2021-10-18 14:56:19,77.484,-69.3632,26.82,69,100,11.3
68,Mount Isa,AU,2021-10-18 15:00:15,-20.7333,139.5,87.57,23,78,8.05
69,Cidreira,BR,2021-10-18 14:57:41,-30.1811,-50.2056,64.51,69,100,10.16
70,Cabo San Lucas,MX,2021-10-18 14:55:45,22.8909,-109.9124,80.51,71,63,5.01
71,Victoria,HK,2021-10-18 14:55:40,22.2855,114.1577,78.33,74,29,4.0
72,Aswan,EG,2021-10-18 14:58:27,24.0934,32.907,96.1,14,0,16.11
73,Karasburg,NA,2021-10-18 15:03:57,-28.0167,18.75,76.33,6,0,13.73
74,Sinnamary,GF,2021-10-18 15:03:57,5.3833,-52.95,85.44,68,100,7.78
75,Kavaratti,IN,2021-10-18 14:57:09,10.5669,72.642,81.82,75,98,10.83
76,Panjab,AF,2021-10-18 15:03:58,34.388,67.0233,41.65,15,0,4.43
77,Ponta Do Sol,PT,2021-10-18 14:56:25,32.6667,-17.1,80.13,37,0,3.8
78,Coruripe,BR,2021-10-18 15:03:58,-10.1256,-36.1756,84.61,59,61,13.31
79,Provideniya,RU,2021-10-18 14:56:37,64.3833,-173.3,24.58,85,100,10.45
80,Ilulissat,GL,2021-10-18 14:59:22,69.2167,-51.1,20.1,59,26,10.8
81,Flinders,AU,2021-10-18 15:03:59,-34.5833,150.8552,60.8,82,62,1.01
82,Chokurdakh,RU,2021-10-18 14:56:48,70.6333,147.9167,-14.33,100,94,4.29
83,Olafsvik,IS,2021-10-18 14:56:33,64.8945,-23.7142,41.18,91,100,27.83
84,Asau,RO,2021-10-18 14:56:40,46.4333,26.4,54.39,64,81,1.41
85,Kodiak,US,2021-10-18 14:56:18,57.79,-152.4072,45.91,87,90,35.68
86,Ouadda,CF,2021-10-18 15:04:00,8.0777,22.4007,78.46,80,79,1.97
87,Talara,PE,2021-10-18 15:04:00,-4.5772,-81.2719,69.75,75,100,14.38
88,New Norfolk,AU,2021-10-18 14:56:13,-42.7826,147.0587,47.7,78,95,1.99
89,Taoudenni,ML,2021-10-18 15:00:55,22.6783,-3.9836,97.75,7,5,13.44
