City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Namibe,AO,-15.1961,12.1522,63.18,86,60,0.78,broken clouds
79,Saint Anthony,US,45.0205,-93.218,69.42,45,1,1.99,clear sky
80,Eyl,SO,7.9803,49.8164,76.95,88,41,6.04,scattered clouds
81,Birnin Kebbi,NG,12.4539,4.1975,78.78,75,93,4.94,overcast clouds
82,Beyneu,KZ,45.3167,55.2,53.33,26,46,5.84,scattered clouds
83,San Quintin,MX,30.4833,-115.95,64.56,70,7,16.96,clear sky
84,Walvis Bay,NA,-22.9575,14.5053,58.08,88,100,11.5,overcast clouds
85,Broken Hill,AU,-31.95,141.4333,65.91,39,0,14.97,clear sky
86,Qaanaaq,GL,77.484,-69.3632,28.08,65,100,11.97,overcast clouds
87,Amapa,BR,1.0,-52.0,74.3,86,100,2.66,overcast clouds
88,Inhambane,MZ,-23.865,35.3833,68.22,60,100,16.96,overcast clouds
89,Touros,BR,-5.1989,-35.4608,77.9,79,37,14.36,scattered clouds
90,Guerrero Negro,MX,27.9769,-114.0611,65.75,66,1,16.67,clear sky
91,Havelock,US,34.8791,-76.9013,66.15,70,0,1.99,clear sky
92,Kurilsk,RU,45.2333,147.8833,48.36,59,15,19.3,few clouds
93,Khatanga,RU,71.9667,102.5,30.58,98,100,13.49,light snow
94,Gizo,SB,-8.103,156.8419,83.79,69,48,2.08,scattered clouds
95,Alice Springs,AU,-23.7,133.8833,92.75,21,40,13.8,scattered clouds
96,Iqaluit,CA,63.7506,-68.5145,35.33,93,90,25.01,overcast clouds
97,Faanui,PF,-16.4833,-151.75,80.44,77,21,13.8,light rain
98,Bac Lieu,VN,9.285,105.7244,83.26,76,12,4.23,few clouds
99,Vestmannaeyjar,IS,63.4427,-20.2734,47.7,75,100,15.66,moderate rain
100,Sorong,ID,-0.8833,131.25,81.28,79,100,2.71,overcast clouds
101,Atasu,KZ,48.6814,71.6433,39.6,42,0,8.23,clear sky
102,Krasnoarmeysk,RU,51.0239,45.6969,43.29,65,100,6.76,overcast clouds
103,Mar Del Plata,AR,-38.0023,-57.5575,51.82,21,0,8.01,clear sky
104,Sabang,ID,5.8933,95.3214,82.15,75,100,5.44,overcast clouds
105,Springbok,ZA,-29.6643,17.8865,52.34,29,0,9.62,clear sky
106,Rognan,NO,67.0953,15.3878,31.87,89,100,6.46,overcast clouds
107,Gat,IL,31.61,34.7642,67.41,100,45,2.98,scattered clouds
108,Basqal,AZ,40.7552,48.391,48.72,95,97,1.01,overcast clouds
109,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,100,90,11.5,mist
110,Brainerd,US,46.358,-94.2008,66.45,48,1,5.75,clear sky
111,Zhangjiakou,CN,40.81,114.8794,36.61,32,0,3.44,clear sky
112,Salinopolis,BR,-0.6136,-47.3561,80.49,78,48,8.79,scattered clouds
113,Orbetello,IT,42.4408,11.2196,56.8,53,100,3.76,overcast clouds
114,Ampanihy,MG,-24.7,44.75,67.21,92,15,5.66,few clouds
115,Karpogory,RU,64.0019,44.4451,34.34,97,100,5.46,light rain
116,Kamina,CD,-8.7386,24.9906,66.25,95,100,2.57,overcast clouds
117,Talaya,RU,61.3833,152.75,0.07,89,100,4.99,overcast clouds
118,Polyanka,UA,50.2584,27.6881,42.13,88,100,5.93,overcast clouds
119,Balabac,PH,7.9868,117.0645,83.84,75,93,6.87,overcast clouds
120,Kasongo-Lunda,CD,-6.4667,16.8167,70.14,98,100,1.72,light rain
121,Half Moon Bay,US,37.4636,-122.4286,64.22,67,40,1.01,scattered clouds
122,Trelew,AR,-43.249,-65.3051,69.96,31,19,10.47,few clouds
123,Provideniya,RU,64.3833,-173.3,28.51,74,90,15.66,snow
124,Yellowknife,CA,62.456,-114.3525,30.42,90,75,1.01,broken clouds
125,Pulaski,US,34.7668,-92.3001,62.74,62,20,5.01,smoke
126,Kodiak,US,57.79,-152.4072,45.91,76,90,18.41,light rain
127,Kristinehamn,SE,59.3098,14.1081,38.71,63,100,5.32,light snow
128,Saint-Philippe,RE,-21.3585,55.7679,71.15,77,46,10.45,scattered clouds
129,Chuy,UY,-33.6971,-53.4616,53.67,88,0,6.15,clear sky
130,Mackenzie,CA,55.2999,-123.1698,35.82,75,1,3.44,clear sky
131,Klaksvik,FO,62.2266,-6.589,50.92,96,100,18.01,overcast clouds
132,Bethel,US,41.3712,-73.414,50.58,78,40,3.44,scattered clouds
133,Erenhot,CN,43.6475,111.9767,33.42,36,0,3.96,clear sky
134,Port Blair,IN,11.6667,92.75,81.93,83,88,8.88,overcast clouds
135,Pimentel,PE,-6.8367,-79.9342,64.24,86,96,10.54,overcast clouds
136,Lahad Datu,MY,5.0268,118.327,82.51,79,99,2.64,overcast clouds
137,Fortuna,US,40.5982,-124.1573,59.18,69,1,1.01,clear sky
138,Sitka,US,57.0531,-135.33,51.69,40,90,20.71,overcast clouds
139,Chase,CA,50.8165,-119.6857,56.28,79,64,1.83,broken clouds
140,Charters Towers,AU,-20.1,146.2667,93.22,22,0,5.32,clear sky
